NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
105,C2H6,ETHANE,30.07,-183.3,-88.7,305.4,48.8,0.148,548,-90,"14,717",156.6,95.57,-84.74,-32.95,5.409,1.78E-01,-6.94E-05,8.71E-09,15.6637,1511.42,-17.16,-143,-74,,"C2H6, ETHANE"
106,C2H6O,DIMETHYL ETHER,46.069,-141.5,-24.9,400,53.7,0.178,667,20,"21,520",,,-184.18,-113,17.015,1.79E-01,-5.23E-05,-1.92E-09,16.8467,2361.44,-17.1,-94,-8,,"C2H6O, DIMETHYL ETHER"
107,C2H6O,ETHANOL,46.069,-114.1,78.3,516.2,63.8,0.167,789,20,"38,770",686.64,300.88,-234.96,-168.39,9.014,2.14E-01,-8.39E-05,1.37E-09,18.9119,3803.98,-41.68,-3,96,,"C2H6O, ETHANOL"
108,C2H6O2,ETHYLENE GLYCOL,62.069,-13,197.2,645,77,0.186,1114,20,"52,544",1365,402.41,-389.58,-304.67,35.697,2.48E-01,-1.50E-04,3.01E-08,20.2501,6022.18,-28.25,91,221,,"C2H6O2, ETHYLENE GLYCOL"
109,C2H6S,ETHYL MERCAPTAN,62.134,-147.9,35,499,54.9,0.207,839,20,"26,796",419.6,206.21,-46.14,-4.69,14.922,2.35E-01,-1.37E-04,3.16E-08,16.0077,2497.23,-41.77,-49,57,,"C2H6S, ETHYL MERCAPTAN"
110,C2H6S,DIMETHYL SULPHIDE,62.13,-98.3,37.3,503,55.3,0.201,848,20,"26,963",267.34,184.24,-37.56,6.95,24.304,1.87E-01,-6.88E-05,4.10E-09,16.0001,2511.56,-42.35,-47,58,,"C2H6S, DIMETHYL SULPHIDE"
111,C2H7N,ETHYL AMINE,45.085,-81.2,16.5,456,56.2,0.178,683,20,"28,052",340.54,192.44,-46.05,37.3,3.693,2.75E-01,-1.58E-04,3.81E-08,17.0073,2616.73,-37.3,-58,43,,"C2H7N, ETHYL AMINE"
112,C2H7N,DIMETHYL AMIDE,45.085,-92.2,6.8,437.6,53.1,0.187,656,20,"26,502",,,-18.84,68.04,-0.172,2.70E-01,-1.33E-04,2.34E-08,16.2653,2358.77,-35.15,-55,37,,"C2H7N, DIMETHYL AMIDE"
113,C2H7NO,MONOETHANOLAMINE,61.084,10.3,170.3,614,44.6,0.196,1016,20,"50,242",1984.1,367.03,-201.72,,9.311,3.01E-01,-1.82E-04,4.66E-08,17.8174,3988.33,-86.93,71,204,,"C2H7NO, MONOETHANOLAMINE"
114,C2H8N2,ETHYLENEDIAMINE,60.099,10.8,117.2,593,62.8,0.206,896,20,"41,868",839.76,316.41,,,38.297,2.41E-01,-4.34E-05,-3.95E-08,16.4082,3108.49,-72.15,19,152,,"C2H8N2, ETHYLENEDIAMINE"
115,C3H3N,ACRYLONITRILE,53.064,-83.7,77.3,536,35.5,0.21,806,20,"32,657",343.31,210.42,185.06,195.44,10.693,2.21E-01,-1.57E-04,4.60E-08,15.9253,2782.21,-51.15,-18,112,,"C3H3N, ACRYLONITRILE"
116,C3H4,PROPADIENE,40.065,-136.3,-34.5,393,54.7,0.162,658,-35,"18,631",,,192.26,202.52,9.906,1.98E-01,-1.18E-04,2.78E-08,13.1563,1054.72,-77.08,-99,-16,,"C3H4, PROPADIENE"
117,C3H4,METHYL ACETYLENE,40.065,-102.7,-23.2,402.4,56.2,0.164,706,-50,"22,148",,,185.56,194.56,14.708,1.86E-01,-1.17E-04,3.22E-08,15.6227,1850.66,-44.07,-90,-6,,"C3H4, METHYL ACETYLENE"
118,C3H4O,ACROLEIN,56.064,-87.2,52.8,506,51.7,,839,20,"28,345",388.17,217.14,-70.92,-65.19,11.97,2.11E-01,-1.07E-04,1.91E-08,15.9057,2606.53,-45.15,-38,87,,"C3H4O, ACROLEIN"
119,C3H4O2,ACRYLIC ACID,72.064,11.8,140.8,615,56.7,0.21,1051,20,"46,055",733.02,307.15,-336.45,-286.25,1.742,3.19E-01,-2.35E-04,6.98E-08,16.5617,3319.18,-80.15,42,177,,"C3H4O2, ACRYLIC ACID"
120,C3H4O2,VINYL FORMATE,72.064,-57.7,46.4,475,57.8,0.21,963,20,"32,155",428.4,224.83,,,27.813,1.84E-01,-3.56E-05,-2.34E-07,16.6531,2569.68,-63.15,-33,77,,"C3H4O2, VINYL FORMATE"
121,C3H5Cl,ALLYL CHLORIDE,76.526,-134.5,45.1,514,47.6,0.234,937,20,"27,110",368.27,210.61,-0.63,43.63,2.529,3.05E-01,-2.28E-04,7.29E-08,15.9772,2531.92,-47.15,-43,77,,"C3H5Cl, ALLYL CHLORIDE"
122,C3H5Cl3,1;2;3-TRICHLOROPROPANE,147.432,-14.7,155.8,651,39.5,0.348,1389,20,"38,435",818.63,342.88,-185.89,-97.85,26.883,3.62E-01,-2.79E-04,8.79E-08,16.1246,3417.27,-69.15,42,197,,"C3H5Cl3, 1;2;3-TRICHLOROPROPANE"
123,C3H5N,PROPIONITRILE,55.08,-92.7,97.3,564.4,41.8,0.23,782,20,"32,280",366.77,225.86,50.66,96.21,15.403,2.25E-01,-1.10E-04,1.95E-08,15.9571,2940.86,-55.15,-3,132,,"C3H5N, PROPIONITRILE"
124,C3H6,CYCLOPROPANE,42.081,-127.5,-32.8,397.8,54.9,0.17,563,15,"20,055",,,53.34,104.46,-35.24,3.81E-01,-2.88E-04,9.04E-08,15.8599,1971.04,-26.65,-93,-28,,"C3H6, CYCLOPROPANE"
125,C3H6,PROPYLENE,42.081,-185.3,-47.8,365,46.2,0.181,612,-50,"18,422",273.84,131.63,20.43,62.76,3.71,2.35E-01,-1.16E-04,2.20E-08,15.7027,1807.53,-26.15,-113,-33,,"C3H6, PROPYLENE"
126,C3H6Cl2,1;2-DICHLOROPROPANE,112.987,-100.5,96.3,577,44.6,0.226,1150,20,"31,401",514.36,281.03,-165.8,-83.15,10.45,3.65E-01,-2.60E-04,7.74E-08,16.0385,2985.07,-52.16,15,135,,"C3H6Cl2, 1;2-DICHLOROPROPANE"
127,C3H6O,ACETONE,58.08,-95,56.2,508.1,47,0.209,790,20,"29,140",367.25,209.68,-217.71,-153.15,6.301,2.61E-01,-1.25E-04,2.04E-08,16.6513,2940.46,-35.93,-32,77,,"C3H6O, ACETONE"
128,C3H6O,ALLYL ALCOHOL,58.08,-129.2,96.8,545,57.1,0.203,855,15,"39,984",793.52,307.26,-132.09,-71.3,-1.105,3.15E-01,-2.03E-04,5.32E-08,16.9066,2928.2,-85.15,13,127,,"C3H6O, ALLYL ALCOHOL"
129,C3H6O,PROPIONALDEHYDE,58.08,-80.2,47.8,496,47.6,0.223,797,20,"28,303",343.44,219.33,-192.17,-130.54,11.723,2.61E-01,-1.30E-04,2.13E-08,16.2315,2659.02,-44.15,-38,77,,"C3H6O, PROPIONALDEHYDE"
130,C3H6O,PROPYLENE OXIDE,58.08,-112.2,34.3,482.2,49.2,0.186,829,20,"27,005",377.43,213.36,-92.82,-25.79,-8.457,3.26E-01,-1.99E-04,4.82E-08,15.3227,2107.58,-64.87,-48,67,,"C3H6O, PROPYLENE OXIDE"
131,C3H6O,VINYL METHYL ETHER,58.08,-121.7,4.8,436,47.6,0.205,750,20,"19,050",318.41,180.98,,,15.629,2.34E-01,-9.70E-05,1.06E-08,14.4602,1980.22,-25.15,-83,42,,"C3H6O, VINYL METHYL ETHER"
132,C3H6O2,PROPIONIC ACID,74.08,-20.7,140.8,612,53.7,0.23,993,20,"32,238",535.04,299.32,-455.44,-369.57,5.669,3.69E-01,-2.87E-04,9.88E-08,17.3789,3723.42,-67.48,42,177,,"C3H6O2, PROPIONIC ACID"
133,C3H6O2,ETHYL FORMATE,74.08,-79.4,54.2,508.4,47.4,0.229,927,16,"30,145",400.91,226.23,-371.54,,24.673,2.32E-01,-2.12E-05,-5.36E-08,16.1611,2603.3,-54.15,-33,87,,"C3H6O2, ETHYL FORMATE"
134,C3H6O2,METHYL ACETATE,74.08,-98.2,56.9,506.8,46.9,0.228,934,20,"30,145",408.62,224.03,-409.72,,16.55,2.25E-01,-4.34E-05,2.91E-08,16.1295,2601.92,-56.15,-28,87,,"C3H6O2, METHYL ACETATE"
135,C3H7Cl,PROPYL CHLORIDE,78.542,-122.8,46.4,503,45.8,0.254,891,20,"27,256",374.77,215,-130.21,-50.7,-3.345,3.63E-01,-2.51E-04,7.45E-08,15.9594,2581.48,-42.95,-43,77,,"C3H7Cl, PROPYL CHLORIDE"
136,C3H7Cl,ISOPROPYL CHLORIDE,78.452,-117.2,35.7,485,47.2,0.23,862,20,"26,293",306.25,212.24,-146.54,-62.55,1.842,3.49E-01,-2.24E-04,5.86E-08,16.0384,2490.48,-43.15,-48,67,,"C3H7Cl, ISOPROPYL CHLORIDE"
137,C3H8,PROPANE,44.097,-187.7,-42.1,369.8,42.5,0.203,582,-42,"18,786",222.67,133.41,-103.92,-23.49,-4.224,3.06E-01,-1.59E-04,3.21E-08,15.726,1872.46,-25.16,-109,-24,,"C3H8, PROPANE"
138,C3H8O,N-PROPYL ALCOHOL,60.096,-126.3,97.2,536.7,51.7,0.219,804,20,"41,784",951.04,327.83,-256.57,-161.9,2.47,3.33E-01,-1.86E-04,4.30E-08,17.5439,3166.38,-80.15,12,127,,"C3H8O, N-PROPYL ALCOHOL"
139,C3H8O,ISOPROPYL ALCOHOL,60.096,-88.5,82.2,508.3,47.6,0.22,786,20,"39,858",1139.7,323.44,-272.6,-173.5,32.427,1.89E-01,6.41E-05,-9.26E-08,18.6929,3640.2,-53.54,0,111,,"C3H8O, ISOPROPYL ALCOHOL"
140,C3H8O,METHYL ETHYL ETHER,60.096,-139.2,7.3,437.8,44,0.221,700,20,"24,702",303.82,171.66,-216.58,-117.73,18.669,2.69E-01,-1.03E-04,8.95E-09,13.5435,1161.63,-112.4,-68,37,,"C3H8O, METHYL ETHYL ETHER"
141,C3H8O2,METHYLAL,76.096,-105.2,41.8,497,,,888,18,,,,,,,,,,15.8237,2415.92,-52.58,-3,42,,"C3H8O2, METHYLAL"
142,C3H8O2,1;2-PROPANEDIOL,76.096,-60.2,187.3,625,60.8,0.237,1036,20,"54,177",1404.2,426.74,-424.25,,0.632,4.21E-01,-2.98E-04,8.95E-08,20.5324,6091.95,-22.46,84,210,,"C3H8O2, 1;2-PROPANEDIOL"
143,C3H8O2,1;3-PROPANEDIOL,76.096,-26.8,214.4,658,59.8,0.241,1053,20,"56,522",1813,406.96,-409.09,,8.269,3.68E-01,-2.16E-04,5.05E-08,17.2917,3888.84,-123.2,107,252,,"C3H8O2, 1;3-PROPANEDIOL"
144,C3H8O3,GLYCEROL,92.095,17.8,289.8,726,66.9,0.255,1261,20,"61,127",3337.1,406,-585.31,,8.424,4.44E-01,-3.16E-04,9.38E-08,17.2392,4487.04,-140.2,167,327,,"C3H8O3, GLYCEROL"
145,C3H8S,METHYL ETHYL SULPHIDE,76.157,-106,66.6,533,42.6,,837,20,"29,517",,,-59.66,11.43,19.527,2.89E-01,-1.21E-04,1.29E-08,15.9765,2722.95,-48.37,-23,87,,"C3H8S, METHYL ETHYL SULPHIDE"
146,C3H9N,N-PROPYL AMINE,59.112,-83.2,48.6,497,47.4,0.233,717,20,"29,726",,,-72.43,39.82,6.691,3.50E-01,-1.82E-04,3.59E-08,15.9957,2551.72,-49.15,-38,77,,"C3H9N, N-PROPYL AMINE"
147,C3H9N,ISOPROPYL AMINE,59.112,-95.3,32.4,476,50.7,0.229,688,20,"27,214",433.64,228.46,-83.82,,-7.486,4.18E-01,-2.83E-04,8.35E-08,16.3637,2582.35,-40.15,-34,64,,"C3H9N, ISOPROPYL AMINE"
148,C3H9N,TRIMETHYL AMINE,59.112,-117.2,2.9,433.2,40.7,0.254,633,20,"24,116",,,-23.86,98.98,-8.206,3.97E-01,-2.19E-04,4.62E-08,16.0499,2230.51,-39.15,-58,32,,"C3H9N, TRIMETHYL AMINE"
149,C4H2O3,MALEIC ANHYDRIDE,98.058,52.8,199.6,,,,1310,60,,952.48,365.81,,,-13.075,3.48E-01,-2.18E-04,4.84E-08,16.2747,3765.65,-82.15,79,243,,"C4H2O3, MALEIC ANHYDRIDE"
150,C4H4,VINYL ACETYLENE,52.076,-45.6,4.9,455,49.6,0.202,710,0,"24,493",,,304.8,306.18,6.757,2.84E-01,-2.27E-04,7.46E-08,16.01,2203.57,-43.15,-73,32,,"C4H4, VINYL ACETYLENE"
151,C4H4O,FURAN,68.075,-85.7,31.3,490.2,55,0.218,938,20,"27,105",389.4,222.7,-34.71,0.88,-35.529,4.32E-01,-3.46E-04,1.07E-07,16.0612,244.7,-45.41,-35,90,,"C4H4O, FURAN"
152,C4H4S,THIOPHENE,84.136,-38.3,84.1,579.4,56.9,0.219,1071,16,"31,485",498.6,264.9,115.81,126.86,-30.606,4.48E-01,-3.77E-04,1.25E-07,16.0243,2869.07,-51.8,-13,107,,"C4H4S, THIOPHENE"
153,C4H5Cl,CHLOROPRENE,88.537,,59.4,511.2,42.5,0.266,958,20,"29,658",,,65.86,,,,,,14.4844,1938.59,-85.36,27,84,,"C4H5Cl, CHLOROPRENE"
154,C4H5Cl,CHLOROBUTADIENE,88.537,-60,67.8,527.2,39.5,0.265,963,20,"29,038",,,79.97,,,,,,,,,,,,"C4H5Cl, CHLOROBUTADIENE"
155,C4H5N,ALLYL CYANIDE,67.091,-86.5,118.8,585,39.5,0.265,835,20,"34,332",521.3,252.03,,,21.7,2.57E-01,-1.19E-04,1.23E-08,16.0019,3128.75,-58.15,127,157,,"C4H5N, ALLYL CYANIDE"
156,C4H5N,PYRROLE,67.091,,129.8,640,,,967,21,,,,108.35,,,,,,16.7966,3457.47,-62.73,57,167,,"C4H5N, PYRROLE"
157,C4H6,ETHYLACETYLENE,54.092,-125.8,8,463.7,47.1,0.22,650,16,"24,995",,,165.29,202.22,12.548,2.74E-01,-1.55E-04,3.45E-08,16.0605,2271.42,-40.3,-73,27,,"C4H6, ETHYLACETYLENE"
158,C4H6,DIMETHYL ACETYLENE,54.092,-32.3,27,488.6,50.9,0.221,691,20,"26,670",,,146.41,185.56,15.927,2.38E-01,-1.07E-04,1.75E-08,16.2821,2536.78,-37.34,-33,47,,"C4H6, DIMETHYL ACETYLENE"
159,C4H6,1;2-BUTADIENE,54.092,-136.2,10.8,443.7,45,0.219,652,20,"24,283",,,162.32,198.58,11.2,2.72E-01,-1.47E-04,3.09E-08,16.1039,2397.26,-30.88,-28,32,,"C4H6, 1;2-BUTADIENE"
160,C4H6,1;3-BUTADIENE,54.092,-108.9,-4.5,425,43.3,0.221,621,20,"22,483",300.59,163.12,110.24,150.77,-1.687,3.42E-01,-2.34E-04,6.33E-08,15.7727,2142.66,-34.3,-58,17,,"C4H6, 1;3-BUTADIENE"
161,C4H6O2,VINYL ACETATE,86.091,-100.2,72.8,525,43.6,0.265,932,20,,457.89,235.35,-316.1,,15.16,2.80E-01,-8.81E-05,-1.66E-08,16.1003,2744.68,-56.15,-18,106,,"C4H6O2, VINYL ACETATE"
162,C4H6O3,ACETIC ANHYDRIDE,102.089,-74.2,138.8,569,46.8,0.29,1087,20,"41,240",502.33,286.04,-576.1,-477,-23.128,5.09E-01,-3.58E-04,9.83E-08,16.3982,3287.56,-75.11,35,164,,"C4H6O3, ACETIC ANHYDRIDE"
163,C4H6O4,DIMETHYL OXALATE,118.09,53.8,163.4,628,39.8,,1150,15,,,,,,,,,,,,,,,,"C4H6O4, DIMETHYL OXALATE"
164,C4H6O4,SUCCINIC ACID,118.09,182.8,234.8,,,,,,,0,,,,,1.51E+01,4.69E-02,-3.14E-04,,,,,,,"C4H6O4, SUCCINIC ACID"
165,C4H7N,BUTYRONITRILE,69.107,-112.2,117.8,582.2,37.9,0.285,792,20,"34,415",438.04,256.84,34.08,108.73,15.211,3.21E-01,-1.64E-04,2.98E-08,16.2092,3202.21,-56.16,34,160,,"C4H7N, BUTYRONITRILE"
166,C4H7O2,METHYL ACRYLATE,86.091,-76.5,80.3,536,42.6,0.265,956,20,"32,029",451.02,245.3,,,15.165,2.80E-01,-8.81E-05,-1.66E-08,16.1088,2788.43,-59.15,-13,117,,"C4H7O2, METHYL ACRYLATE"
167,C4H8,1-BUTENE,56.108,-185.4,-6.3,419.6,37.2,0.24,595,20,"21,930",256.3,151.86,-0.13,71.34,-2.994,3.53E-01,-1.98E-04,4.46E-08,15.7564,2132.42,-33.15,-83,22,,"C4H8, 1-BUTENE"
168,C4H8,CIS-2-BUTENE,56.108,-138.9,3.7,435.6,42,0.234,621,20,"23,362",268.94,155.34,-6.99,65.9,0.44,2.95E-01,-1.02E-04,-6.16E-10,15.8171,2210.71,-36.15,-73,32,,"C4H8, CIS-2-BUTENE"
169,C4H8,TRANS-2-BUTENE,56.108,-105.6,0.8,428.6,41,0.238,604,20,"22,772",259.01,153.3,-11.18,63.01,18.317,2.56E-01,-7.01E-05,-8.99E-09,15.8177,2212.32,-33.15,-73,27,,"C4H8, TRANS-2-BUTENE"
170,C4H8,CYCLOBUTANE,56.108,-90.8,12.5,459.9,49.9,0.21,694,20,"24,200",,,26.67,110.11,-50.254,5.02E-01,-3.56E-04,1.05E-07,15.9254,2359.09,-31.78,-73,17,,"C4H8, CYCLOBUTANE"
171,C4H8,ISOBUTYLENE,56.108,-140.4,-6.9,417.9,40,0.239,594,20,"22,131",,,-16.91,58.11,16.052,2.80E-01,-1.09E-04,9.10E-09,15.7528,2125.75,-33.15,-83,17,,"C4H8, ISOBUTYLENE"
172,C4H8O,N-BUTYRALDEHYDE,72.107,-96.4,74.8,524,40.5,0.278,802,20,"31,527",472.31,233.42,-205.15,-114.84,14.08,3.46E-01,-1.72E-04,2.89E-08,16.1668,2839.09,-50.15,-18,107,,"C4H8O, N-BUTYRALDEHYDE"
173,C4H8O,ISOBUTYRALDEHYDE,72.107,-65,63.8,513,41.5,0.274,789,20,"31,401",464.06,253.64,-215.87,-121.42,24.463,3.36E-01,-2.06E-04,6.37E-08,15.9888,2676.98,-51.15,-26,97,,"C4H8O, ISOBUTYRALDEHYDE"
174,C4H8O,MERTYL ETHYL KETONE,72.107,-86.7,79.6,535.6,41.5,0.267,805,20,"31,234",423.84,231.67,-238.52,-146.16,10.944,3.56E-01,-1.90E-04,3.92E-08,16.5986,3150.42,-36.65,-16,103,,"C4H8O, MERTYL ETHYL KETONE"
175,C4H8O,TETRAHYDROFURAN,72.107,-108.5,65.9,540.2,51.9,0.224,889,20,"29,601",419.79,244.46,-184.34,,-19.104,5.16E-01,-4.13E-04,1.45E-07,16.1069,2768.38,-46.9,-3,97,,"C4H8O, TETRAHYDROFURAN"
176,C4H8O,VINYL ETHYL ETHER,72.107,-115.3,35.6,475,40.7,0.26,793,20,"26,502",349.95,189.02,-140.26,,17.279,3.24E-01,-1.47E-04,2.15E-08,15.8911,2449.26,-44.15,-48,67,,"C4H8O, VINYL ETHYL ETHER"
177,C4H8O2,N-BUTYRIC ACID,88.107,-5.3,163.2,628,52.7,0.292,958,20,"42,035",640.42,321.13,-476.16,,11.74,4.14E-01,-2.43E-04,5.53E-08,17.924,4130.93,-70.55,62,197,,"C4H8O2, N-BUTYRIC ACID"
178,C4H8O2,1;4-DIOXANE,88.107,11.8,101.3,587,52.1,0.238,1033,20,"36,383",660.36,308.77,-315.27,-180.91,-53.574,5.99E-01,-4.09E-04,1.06E-07,16.1327,2966.88,-62.15,2,137,,"C4H8O2, 1;4-DIOXANE"
179,C4H8O2,ETHYL ACETATE,88.107,-83.6,77.1,523.2,38.3,0.286,901,20,"32,238",427.38,235.98,-443.21,-327.62,7.235,4.07E-01,-2.09E-04,2.85E-08,16.1516,2790.5,-57.15,-13,112,,"C4H8O2, ETHYL ACETATE"
180,C4H8O2,ISOBUTYRIC ACID,88.107,-46,154.7,609,40.5,0.292,968,20,"41,156",588.65,311.24,-484.25,,9.814,4.67E-01,-3.72E-04,1.35E-07,16.7792,3385.49,-94.15,57,192,,"C4H8O2, ISOBUTYRIC ACID"
181,C4H8O2,METHYL PROPIONATE,88.107,-87.5,79.8,530.6,40,0.282,915,20,"32,573",442.88,238.39,,,18.204,3.14E-01,-9.35E-05,-1.83E-08,16.1693,2804.06,-58.92,-13,112,,"C4H8O2, METHYL PROPIONATE"
182,C4H8O2,N-PROPYL FORMATE,88.107,-92.9,80.5,538,40.6,0.285,911,16,"32,490",452.97,246.09,,,,,,,15.7671,2593.95,-69.69,7,87,,"C4H8O2, N-PROPYL FORMATE"
183,C4H9Cl,1-CHLOROBUTANE,92.569,-123.1,78.4,542,36.9,0.312,886,20,"30,019",783.72,260.03,-147.38,-38.81,-2.613,4.50E-01,-2.94E-04,8.08E-08,15.975,2826.26,-49.05,-18,112,,"C4H9Cl, 1-CHLOROBUTANE"
184,C4H9Cl,2-CHLOROBUTANE,92.569,-131.4,68.2,520.6,39.5,0.305,873,20,"29,224",480.77,237.3,-161.61,-53.51,-3.433,4.56E-01,-2.98E-04,8.26E-08,15.9907,2753.43,-47.15,-23,102,,"C4H9Cl, 2-CHLOROBUTANE"
185,C4H9Cl,2-CHLORO-2-METHYL PROPANE,92.569,-25.4,50.8,507,39.5,0.295,842,20,"27,424",543.41,253.35,-183.38,-64.14,-3.931,4.65E-01,-2.89E-04,7.87E-08,15.8121,2567.15,-44.15,-38,87,,"C4H9Cl, 2-CHLORO-2-METHYL PROPANE"
186,C4H9N,PYRROLIDINE,71.123,,86.5,568.6,56.1,0.249,852,22,,,,-3.6,114.76,-51.531,5.34E-01,-3.24E-04,7.53E-08,15.9444,2717.03,-67.9,27,127,,"C4H9N, PYRROLIDINE"
187,C4H9NO,MORPHOLINE,87.122,-4.8,128.2,618,54.7,0.253,1000,20,"37,681",914.14,332.75,,,-42.802,5.39E-01,-2.67E-04,4.20E-08,16.2364,3171.35,-71.15,27,167,,"C4H9NO, MORPHOLINE"
188,C4H10,N-BUTANE,58.124,-138.4,-0.5,425.2,38,0.255,579,20,"22,408",265.84,160.2,-126.23,-17.17,9.487,3.31E-01,-1.11E-04,-2.82E-09,15.6782,2154.9,-34.42,-78,17,,"C4H10, N-BUTANE"
189,C4H10,ISOBUTANE,58.124,-159.6,-11.9,408.1,36.5,0.263,557,20,"21,311",302.51,170.2,-134.61,20.89,-1.39,3.85E-01,-1.85E-04,2.90E-08,15.5381,2032.73,-33.15,-86,7,,"C4H10, ISOBUTANE"
190,C4H10O,N-BUTANOL,74.123,-89.3,117.7,562.9,44.2,0.274,810,20,"43,124",984.54,341.12,-274.86,-150.89,3.266,4.18E-01,-2.24E-04,4.69E-08,17.216,3137.02,-94.43,15,131,,"C4H10O, N-BUTANOL"
191,C4H10O,2-BUTANOL,74.123,-114.7,99.5,536,41.9,0.268,807,20,"40,821",1441.7,331.5,-292.82,-167.72,5.753,4.25E-01,-2.33E-04,4.77E-08,17.2102,3026.03,-86.65,25,120,,"C4H10O, 2-BUTANOL"
192,C4H10O,ISOBUTANOL,74.123,-108,107.8,547.7,43,0.273,802,20,"42,077",1199.1,343.85,-283.4,-167.43,-7.708,4.69E-01,-2.88E-04,7.23E-08,16.8712,2874.73,-100.3,20,115,,"C4H10O, ISOBUTANOL"
193,C4H10O,2-METHYL-2-PROPANOL,74.123,25.6,82.4,506.2,39.7,0.275,787,20,"39,063",972.1,363.38,-312.63,-177.77,-48.613,7.17E-01,-7.08E-04,2.92E-07,16.8548,2658.29,-95.5,20,103,,"C4H10O, 2-METHYL-2-PROPANOL"
194,C4H10O,ETHYL ETHER,74.123,-116.3,34.5,466.7,36.4,0.28,713,20,"26,712",353.14,190.58,-252.38,-122.42,21.424,3.36E-01,-1.04E-04,-9.36E-09,16.0828,2511.29,-41.95,-48,67,,"C4H10O, ETHYL ETHER"
195,C4H10O2,1;2-DIMETHOXYETHANE,90.123,-71.2,85.4,536,38.7,0.271,867,20,"31,443",,,,,32.234,3.57E-01,-1.34E-04,8.40E-09,16.0241,2869.79,-53.15,-11,120,,"C4H10O2, 1;2-DIMETHOXYETHANE"
196,C4H10O3,DIETHYLENE GLYCOL,106.122,-8.2,245.8,681,46.6,0.316,1116,20,"57,234",1943,385.24,-571.5,,73.06,3.44E-01,-1.47E-04,1.85E-08,17.0326,4122.52,-122.5,129,287,,"C4H10O3, DIETHYLENE GLYCOL"
197,C4H10S,DIMETHYL SULPHIDE,90.184,-104,92.1,557,39.6,0.318,837,20,"31,778",407.59,233.32,-83.53,17.79,13.595,3.96E-01,-1.78E-04,2.65E-08,15.9531,2896.27,-54.49,-13,117,,"C4H10S, DIMETHYL SULPHIDE"
198,C4H10S2,DIETHYL DISULPHIDE,122.244,-101.5,154,642,,,998,20,"37,723",,,-74.69,22.27,26.896,4.60E-01,-2.71E-04,5.97E-08,16.0607,3421.57,-64.19,39,182,,"C4H10S2, DIETHYL DISULPHIDE"
199,C4H11N,N-BUTYL AMINE,73.139,-49.1,77.4,524,41.5,0.288,739,20,"32,113",472.06,243.98,-92.11,49.24,5.079,4.48E-01,-2.41E-04,7.60E-08,16.6085,3012.7,-48.96,-14,100,,"C4H11N, N-BUTYL AMINE"
200,C4H11N,ISOBUTYL AMINE,73.139,-85.2,67.4,516,42.6,0.284,,,"30,982",,,,,9.491,4.43E-01,-2.11E-04,2.33E-08,16.1419,2704.16,-56.15,-22,100,,"C4H11N, ISOBUTYL AMINE"
201,C4H11N,DIETHYL AMINE,73.139,-49.8,55.4,496.6,37.1,0.301,707,20,"27,842",473.89,229.29,-72.43,72.14,2.039,4.43E-01,-2.18E-04,3.65E-08,16.0545,2595.01,-53.15,-31,77,,"C4H11N, DIETHYL AMINE"
