NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
202,C4H12Si,TETRAMETHYLSILANE,88.225,-102.2,27.6,448.6,28.2,0.362,646,20,"24,685",,,-232.41,,,,,,16.0999,2570.24,-28.73,27,-84,,"C4H12Si, TETRAMETHYLSILANE"
203,C5H4O2,FURFURAL,96.085,-31,161.7,657.1,49.2,0.27,1156,25,,,,,,18.196,2.82E-01,-6.52E-05,-5.48E-08,18.7949,5365.88,5.4,77,277,,"C5H4O2, FURFURAL"
204,C5H5N,PYRIDINE,79.102,-41.7,115.3,620,56.3,0.254,983,20,"35,169",618.5,291.58,140.26,190.33,39.791,4.93E-01,-3.56E-04,1.00E-07,16.091,3095.13,-61.15,12,152,,"C5H5N, PYRIDINE"
205,C5H8,CYCLOPENTENE,68.119,-135.1,44.2,506,,,772,20,"27,005",396.83,218.66,32.95,110.66,-41.512,4.63E-01,-2.58E-04,5.43E-08,15.9356,2583.07,-39.7,-29,105,,"C5H8, CYCLOPENTENE"
206,C5H8,1;2-PENTADIENE,68.119,-137.3,44.8,503,40.7,0.276,693,20,"27,591",,,145.7,210.55,8.826,3.88E-01,-2.28E-04,5.25E-08,15.9297,2544.34,-44.3,-23,67,,"C5H8, 1;2-PENTADIENE"
207,C5H8,1-TRANS-3-PENTADIENE,68.119,-87.5,42,496,39.9,0.275,676,20,"27,047",,,77.87,146.83,30.689,2.81E-01,-6.71E-05,-2.35E-08,15.9182,2541.69,-41.43,-23,67,,"C5H8, 1-TRANS-3-PENTADIENE"
208,C5H8,1;4-PENTADIENE,68.119,-148.3,25.9,478,37.9,0.276,661,20,"25,163",,,105.51,170.36,6.996,3.95E-01,-2.37E-04,5.60E-08,15.7392,2344.02,-41.69,-33,47,,"C5H8, 1;4-PENTADIENE"
209,C5H8,1-PENTYNE,68.119,-105.7,40.1,493.4,40.5,0.278,690,20,,,,144.44,210.39,18.066,3.50E-01,-1.91E-04,4.10E-08,16.0429,2515.62,-45.97,-43,62,,"C5H8, 1-PENTYNE"
210,C5H8,2-METHYL-1;3-BUTADIENE,68.119,-146,34,484,38.5,0.276,681,20,"26,084",328.49,182.48,75.78,145.95,-34.122,4.58E-01,-3.34E-04,1.00E-07,15.8548,2467.4,-39.64,-23,57,,"C5H8, 2-METHYL-1;3-BUTADIENE"
211,C5H8,3-METHYL-1;2-BUTADIENE,68.119,-113.7,40.8,496,41.1,0.267,686,20,"27,256",,,129.79,198.75,14.687,3.60E-01,-1.98E-04,4.26E-08,15.988,2541.83,-42.26,-23,62,,"C5H8, 3-METHYL-1;2-BUTADIENE"
212,C5H8O,CYCLOPENTONE,84.118,-50.7,130.7,626,53.7,0.268,950,20,"36,593",574.71,303.44,-192.76,,-40.641,5.23E-01,-3.04E-04,7.13E-08,16.0897,3193.92,-66.15,27,167,,"C5H8O, CYCLOPENTONE"
213,C5H8O2,ETHYL ACRYLATE,100.118,-72.2,99.8,552,37.5,0.32,921,20,"33,285",438.08,256.84,,,16.81,3.69E+00,-1.38E-04,-5.73E-09,16.089,2974.94,-58.15,1,136,,"C5H8O2, ETHYL ACRYLATE"
214,C5H10,CYCLOPENTANE,70.135,-93.9,49.2,511.6,45.1,0.26,745,20,"27,315",406.69,231.67,-77.29,38.64,-53.625,5.43E-01,-3.03E-04,6.49E-08,15.8574,2588.48,-41.79,-43,72,,"C5H10, CYCLOPENTANE"
215,C5H10,1-PENTENE,70.135,-165.3,29.9,464.7,40.5,0.3,640,20,"25,213",305.25,174.7,-20.93,79.17,-0.134,4.33E-01,-2.32E-04,4.68E-08,15.7646,2405.96,-39.63,-53,52,,"C5H10, 1-PENTENE"
216,C5H10,CIS-2-PENTENE,70.135,-151.4,36.9,476,36.5,0.3,656,20,"26,126",305.31,175.72,-28.09,71.89,-13.151,4.60E-01,-2.54E-04,5.46E-08,15.8251,2459.05,-42.56,-53,57,,"C5H10, CIS-2-PENTENE"
217,C5H10,TRANS-2-PENTENE,70.135,-140.3,36.3,475,36.6,0.3,649,20,"26,084",349.33,176.62,-31.78,69.96,1.947,4.18E-01,-2.18E-04,4.40E-08,15.9011,2495.97,-40.18,-53,57,,"C5H10, TRANS-2-PENTENE"
218,C5H10,2-METHYL-1-BUTENE,70.135,-137.6,31.1,465,34.5,0.294,650,20,"25,514",369.27,193.39,-36.34,65.65,10.572,4.00E-01,-1.95E-04,3.31E-08,15.826,2426.42,-40.36,-53,52,,"C5H10, 2-METHYL-1-BUTENE"
219,C5H10,2-METHYL-2-BUTENE,70.135,-133.8,38.5,470,34.5,0.318,662,20,"26,322",322.47,180.43,-42.58,59.7,11.803,3.51E-01,-1.12E-04,-5.81E-09,15.9238,2521.53,-40.31,-47,62,,"C5H10, 2-METHYL-2-BUTENE"
220,C5H10,3-METHYL-1-BUTENE,70.135,-168.5,20.1,450,35.2,0.3,627,20,"24,116",,,-28.97,74.82,21.742,3.89E-01,-2.01E-04,4.01E-08,15.7179,2333.61,-36.33,-63,42,,"C5H10, 3-METHYL-1-BUTENE"
221,C5H10O,VALERALDEHYDE,86.134,-91.2,102.8,554,35.5,0.333,810,20,"33,662",521.3,252.03,-227.97,-108.35,14.239,4.33E-01,-2.11E-04,3.16E-08,16.1623,3030.2,-58.15,-46,139,,"C5H10O, VALERALDEHYDE"
222,C5H10O,METHYL N-PROPYL KETONE,86.134,-77.2,102.3,564,38.9,0.301,806,20,"33,494",437.94,243.03,-258.83,-137.16,1.147,4.80E-01,-2.82E-04,6.66E-08,16.0031,2934.87,-62.25,2,137,,"C5H10O, METHYL N-PROPYL KETONE"
223,C5H10O,METHYL ISOPROPYL KETONE,86.134,-92.2,94.2,553.4,38.5,0.31,803,20,"30,647",,,,,-2.914,4.99E-01,-2.94E-04,6.67E-08,14.1779,1993.12,-103.2,-2,133,,"C5H10O, METHYL ISOPROPYL KETONE"
224,C5H10O,DIETHYL KETONE,86.134,-39,101.9,561,37.4,0.336,814,20,"33,746",409.17,236.65,-258.83,135.36,30.011,3.94E-01,-1.91E-04,3.40E-08,16.8138,3410.51,-40.15,2,127,,"C5H10O, DIETHYL KETONE"
225,C5H10O2,N-VALERIC ACID,102.134,-34.2,185.5,651,38.5,0.34,939,20,"49,823",729.09,341.13,-490.69,-357.43,13.389,5.03E-01,-2.93E-04,6.62E-08,17.6306,4092.15,-86.55,77,222,,"C5H10O2, N-VALERIC ACID"
226,C5H10O2,ISOBUTYL FORMATE,102.134,-95.2,98.4,551,38.8,0.35,885,20,"34,206",,,,,19.85,4.03E-01,-1.44E-04,-7.40E-09,16.2292,2980.47,-64.15,5,136,,"C5H10O2, ISOBUTYL FORMATE"
227,C5H10O2,N-PROPYL ACETATE,102.134,-95.2,101.6,549.4,33.3,0.345,887,20,"34,206",489.53,255.83,-466.03,,15.42,4.50E-01,-1.69E-04,-1.44E-08,16.2291,2980.47,-64.15,7,137,,"C5H10O2, N-PROPYL ACETATE"
228,C5H10O2,ETHYL PROPIONATE,102.134,-73.9,98.8,546,33.6,0.345,895,16,"34,248",463.31,248.72,-470.18,-323.72,19.854,4.03E-01,-1.44E-04,-7.40E-09,16.162,2935.11,-64.16,3,123,,"C5H10O2, ETHYL PROPIONATE"
229,C5H10O2,METHYL BUTYRATE,102.134,-84.8,102.6,554.4,34.8,0.34,898,20,"34,101",479.35,254.66,,,,,,,,,,,,,"C5H10O2, METHYL BUTYRATE"
230,C5H10O2,METHYL ISOBUTYRATE,102.134,-87.8,92.2,540.8,34.3,0.339,891,20,"33,386",451.21,246.09,,,,,,,,,,,,,"C5H10O2, METHYL ISOBUTYRATE"
231,C5H11N,PIPERIDINE,85.15,-10.5,106.5,594,47.6,0.289,862,20,"34,248",772.79,313.49,-49.03,,-53.068,6.29E-01,-3.36E-04,6.43E-08,16.1004,3015.46,-61.15,7,143,,"C5H11N, PIPERIDINE"
232,C5H12,N-PENTANE,72.151,-129.8,36,469.6,33.7,0.304,626,20,"25,791",313.66,182.48,-146.54,-8.37,-3.626,4.87E-01,-2.58E-04,5.30E-08,15.8333,2477.07,-39.94,-53,57,,"C5H12, N-PENTANE"
233,C5H12,2-METHYL BUTANE,72.151,-159.3,27.8,460.4,33.8,0.306,620,20,"24,702",367.32,191.58,-154.58,-14.82,-9.525,5.07E-01,-2.73E-04,5.72E-08,15.6338,2348.67,-40.05,-57,49,,"C5H12, 2-METHYL BUTANE"
234,C5H12,2;2-DIMETHYL PROPANE,72.151,-16.6,9.4,433.8,32,0.303,591,20,"22,768",355.54,196.35,-166.09,-15.24,-16.592,5.55E-01,-3.31E-04,7.63E-08,15.2069,2034.15,-45.37,-13,32,,"C5H12, 2;2-DIMETHYL PROPANE"
235,C5H12O,1-PENTANOL,88.15,-78.2,137.8,586,38.5,0.326,815,20,"44,380",1151.1,349.62,-298.94,-146.12,3.869,5.05E-01,-2.64E-04,5.12E-08,16.527,3026.89,-105,37,138,,"C5H12O, 1-PENTANOL"
236,C5H12O,2-METHYL-1-BUTANOL,88.15,-70.2,128.7,571,38.5,0.322,819,20,"45,217",1259.4,349.85,-302.71,-165.71,-9.483,5.68E-01,-3.48E-04,8.64E-08,16.2708,2752.19,-116.3,34,129,,"C5H12O, 2-METHYL-1-BUTANOL"
237,C5H12O,3-METHYL-1-BUTANOL,88.15,-117.2,131.2,579.5,38.5,0.329,810,20,"44,129",1148.8,349.51,-302.29,,-9.542,5.68E-01,-3.49E-04,8.65E-08,16.7127,3026.43,-104.1,25,153,,"C5H12O, 3-METHYL-1-BUTANOL"
238,C5H12O,2-METHYL-2-BUTANOL,88.15,-8.8,102,545,39.5,0.319,809,20,"40,612",1502,336.75,-329.92,-165.38,-12.087,6.10E-01,-4.20E-04,1.23E-07,15.0113,1988.08,-137.8,25,102,,"C5H12O, 2-METHYL-2-BUTANOL"
239,C5H12O,2;2-DIMETHYL-1-PROPANOL,88.15,53.8,113.1,549,39.5,0.319,783,54,"43,124",,,-293.08,-125.52,12.154,5.40E-01,-3.16E-04,7.12E-08,18.1336,3694.96,-65,55,133,,"C5H12O, 2;2-DIMETHYL-1-PROPANOL"
240,C5H12O,ETHYL PROPYL ETHER,88.15,-126.8,63.6,500.6,32.5,,733,20,"30,522",399.87,213.39,,,,,,,15.3549,2423.41,-62.28,-27,87,,"C5H12O, ETHYL PROPYL ETHER"
241,C5H12O,METHYL-T-BUTYL ETHER,88.15,-108.2,55.1,407.1,34.3,0.339,741,20,"27,646",,,-292.99,-125.52,2.533,5.14E-01,-2.60E-04,4.30E-08,16.4174,2913.7,-30.63,-88,88,,"C5H12O, METHYL-T-BUTYL ETHER"
242,C5H12O,BUTYLMETHYL ETHER,88.15,-115.5,70.1,512.8,34.3,0.329,,,,,,,,,,,,15.883,2666.26,-53.7,69,23,,"C5H12O, BUTYLMETHYL ETHER"
243,C6F6,PERFLUOROBENZENE,186.056,,80.2,516.7,33,,,,,,,-957.27,-879.98,36.283,5.27E-01,-4.55E-04,1.46E-07,16.194,2827.53,-57.66,-3,117,,"C6F6, PERFLUOROBENZENE"
244,C6F12,PERFLUOROCYCLOHEXANE,300.047,,52.5,457.2,24.3,,,,,,,,,,,,,13.9087,1374.07,-136.8,7,127,,"C6F12, PERFLUOROCYCLOHEXANE"
245,C6F14,PERFLUORO-N-HEXANE,338.044,-87.2,57.1,451.7,19,0.442,,,,,,,,,,,,15.8307,2488.59,-59.73,-3,57,,"C6F14, PERFLUORO-N-HEXANE"
246,C6H3Cl3,1;2;4-TRICHLOROBENZENE,181.449,16.8,213,734.9,39.8,0.401,,,,,,,,-14.361,6.09E-01,-5.62E-04,2.07E-07,16.8979,4452.5,-53,127,327,,"C6H3Cl3, 1;2;4-TRICHLOROBENZENE"
247,C6H4Cl2,O-DICHLOROBENZENE,147.004,-17.1,180.4,697.3,41,0.36,1306,20,"39,691",554.35,319.07,29.98,82.73,-14.302,5.51E-01,-4.51E-04,1.43E-07,16.2799,3798.23,-59.84,58,210,,"C6H4Cl2, O-DICHLOROBENZENE"
248,C6H4Cl2,M-DICHLOROBENZENE,147.004,-24.8,172.8,684,38.5,0.359,1288,20,"38,644",402.2,300.89,26.46,78.63,-13.59,5.49E-01,-4.51E-04,1.43E-07,16.8173,4104.13,-43.15,53,202,,"C6H4Cl2, M-DICHLOROBENZENE"
249,C6H4Cl2,P-DICHLOROBENZENE,147.004,53.1,174.1,685,39.5,0.372,1248,55,"38,812",483.82,312.03,23.03,77.2,-14.344,5.53E-01,-4.56E-04,1.45E-07,16.1135,3626.83,-64.64,54,204,,"C6H4Cl2, P-DICHLOROBENZENE"
250,C6H5Br,BROMOBENZENE,157.01,-30.9,156,670,45.2,0.324,1495,20,,508.18,302.42,105.09,138.62,-28.805,5.35E-01,-4.08E-04,1.21E-07,15.7972,3313,-67.71,47,177,,"C6H5Br, BROMOBENZENE"
251,C6H5Cl,CHLOROBENZENE,112.559,-45.6,131.7,632.4,45.2,0.308,1106,20,"36,572",477.76,276.22,51.87,99.23,-33.888,5.63E-01,-4.52E-04,1.43E-07,16.0676,3295.12,-55.6,47,147,,"C6H5Cl, CHLOROBENZENE"
252,C6H5F,FLUOROBENZENE,96.104,-39.2,85.3,560.1,45.5,0.271,1024,20,,452.06,252.89,-116.64,-69.08,-38.728,5.67E-01,-4.43E-04,1.36E-07,16.5487,3181.78,-37.59,-23,97,,"C6H5F, FLUOROBENZENE"
253,C6H5I,IODOBENZENE,204.011,-31.4,188.2,721,45.2,0.351,1855,4,"39,523",565.72,331.21,162.66,187.9,-29.274,5.56E-01,-4.51E-04,1.44E-07,16.1454,3776.53,-64.38,17,197,,"C6H5I, IODOBENZENE"
254,C6H5NO2,NITROBENZENE,123.112,4.8,210.6,712,35,0.337,1203,20,"44,031",,,-67.49,,,,,,16.1484,4032.66,-71.81,44,211,,"C6H5NO2, NITROBENZENE"
255,C6H6,BENZENE,78.114,5.5,80.1,562.1,48.9,0.259,885,16,"30,781",545.64,265.34,82.98,129.75,-33.917,4.74E-01,-3.02E-04,7.13E-08,15.9008,2788.51,-52.36,7,104,,"C6H6, BENZENE"
256,C6H6O,PHENOL,94.113,40.8,181.8,694.2,61.3,0.229,1059,40,"45,636",1405.5,370.07,-96.67,-32.91,-35.843,5.98E-01,-4.83E-04,1.53E-07,16.4279,3490.89,-98.59,72,208,,"C6H6O, PHENOL"
257,C6H7N,ANILINE,93.129,-6.2,184.3,699,53.1,0.27,1022,20,"41,868",1074.6,357.21,86.92,166.8,-40.516,6.38E-01,-5.13E-04,1.63E-07,16.6748,3857.52,-73.15,67,227,,"C6H7N, ANILINE"
258,C6H7N,4-METHYL PYRIDINE,93.129,3.7,145.3,646,44.6,0.311,955,20,"37,472",500.97,285.5,102.28,,-17.43,4.88E-01,-2.80E-04,5.45E-08,16.2143,3409.4,-62.65,27,187,,"C6H7N, 4-METHYL PYRIDINE"
259,C6H10,1;5-HEXADIENE,82.146,-141.2,59.4,507,34.5,0.328,692,20,"27,470",,,83.74,,,,,,16.1351,2728.54,-45.45,9,77,,"C6H10, 1;5-HEXADIENE"
260,C6H10,CYCLOHEXENE,82.146,-103.5,82.9,560.4,43.5,0.292,816,16,"30,480",506.92,264.54,-5.36,106.93,-68.651,7.25E-01,-5.41E-04,1.64E-07,15.8243,2813.53,-49.98,27,87,,"C6H10, CYCLOHEXENE"
261,C6H10O,CYCLOHEXANONE,98.145,-31.2,155.6,629,38.5,0.312,951,15,"39,775",787.38,336.47,-230.27,-90.81,-37.807,5.54E-01,-1.95E-04,-1.53E-08,,,,,,,"C6H10O, CYCLOHEXANONE"
262,C6H12,CYCLOHEXANE,84.162,6.5,80.7,553.4,40.7,0.308,779,20,"29,977",653.62,290.84,-123.22,31.78,-54.541,6.11E-01,-2.52E-04,1.32E-08,15.7527,2766.63,-50.5,7,107,,"C6H12, CYCLOHEXANE"
263,C6H12,METHYLCYCLOPENTANE,84.162,-142.5,71.8,532.7,37.9,0.319,754,16,"29,098",440.52,243.24,-105.93,35.8,-50.108,6.38E-01,-3.64E-04,8.01E-08,15.8023,2731,-47.11,-23,102,,"C6H12, METHYLCYCLOPENTANE"
264,C6H12,1-HEXENE,84.162,-139.9,63.4,504,31.7,0.35,673,20,"28,303",357.43,197.74,-41.7,87.5,-1.746,5.31E-01,-2.90E-04,6.05E-08,15.8089,2654.81,-47.3,-33,87,,"C6H12, 1-HEXENE"
265,C6H12,CIS-2-HEXENE,84.162,-141.2,68.8,518,32.8,0.351,687,20,"29,140",344.33,197.95,-52.38,76.28,-9.81,5.31E-01,-2.72E-04,4.83E-08,16.2057,2897.97,-39.3,-28,97,,"C6H12, CIS-2-HEXENE"
266,C6H12,TRANS-2-HEXENE,84.162,-133.2,67.8,516,32.7,0.351,678,20,"28,931",344.33,197.95,-53.93,76.49,-32.925,6.93E-01,-5.62E-04,2.00E-07,15.8727,2701.72,-48.62,-28,92,,"C6H12, TRANS-2-HEXENE"
267,C6H12,CIS-3-HEXENE,84.162,-137.9,66.4,517,32.8,0.35,680,20,"28,721",344.33,197.95,-47.65,83.07,-21.729,5.81E-01,-3.36E-04,7.46E-08,15.8384,2680.52,-48.4,-28,92,,"C6H12, CIS-3-HEXENE"
268,C6H12,TRANS-3-HEXENE,84.162,-113.5,67.1,519.9,32.5,0.35,677,20,"28,973",344.33,197.95,-54.47,77.67,-4.338,5.51E-01,-3.28E-04,8.05E-08,15.9288,2718.68,-47.77,-28,92,,"C6H12, TRANS-3-HEXENE"
269,C6H12,2-METHYL-2-PENTENE,84.162,-135.1,67.3,518,32.8,0.351,691,16,"29,015",,,-59.79,71.26,-14.75,5.67E-01,-3.34E-04,7.96E-08,15.9423,2725.89,-47.64,-28,97,,"C6H12, 2-METHYL-2-PENTENE"
270,C6H12,3-METHYL-CIS-2-PENTENE,84.162,-134.9,67.7,518,32.8,0.351,694,20,"28,847",,,-57.78,73.27,-14.75,5.67E-01,-3.34E-04,7.96E-08,15.9124,2731.79,-46.76,-25,91,,"C6H12, 3-METHYL-CIS-2-PENTENE"
271,C6H12,3-METHYL-TRANS-2-PENTENE,84.162,-138.5,70.4,521,32.9,0.35,698,20,"29,308",,,-58.7,71.34,-14.75,5.67E-01,-3.34E-04,7.96E-08,15.9484,2750.5,-48.33,-23,93,,"C6H12, 3-METHYL-TRANS-2-PENTENE"
272,C6H12,4-METHYL-CIS-2-PENTENE,84.162,-134.2,56.4,490,30.4,0.36,669,20,"27,591",,,-50.37,82.19,-1.675,5.38E-01,-3.04E-04,6.75E-08,15.7527,2580.52,-46.56,-35,79,,"C6H12, 4-METHYL-CIS-2-PENTENE"
273,C6H12,4-METHYL-TRANS-2-PENTENE,84.162,-141.2,58.5,493,30.4,0.36,669,20,"27,968",,,-54.39,79.67,12.627,5.15E-01,-3.01E-04,7.33E-08,15.8425,2631.57,-46,-33,81,,"C6H12, 4-METHYL-TRANS-2-PENTENE"
274,C6H12,2;3-DIMETHYL-1-BUTENE,84.162,-157.3,55.6,501,32.4,0.343,678,20,"27,424",,,-55.77,79.09,7.025,5.59E-01,-3.70E-04,1.06E-07,15.8012,2612.69,-43.78,-38,87,,"C6H12, 2;3-DIMETHYL-1-BUTENE"
275,C6H12,2;3-DIMETHYL-2-BUTENE,84.162,-74.3,73.2,524,33.6,0.351,708,20,"29,655",,,-59.24,75.91,2.294,4.83E-01,-2.20E-04,3.04E-08,16.0043,2798.63,-47.71,-23,102,,"C6H12, 2;3-DIMETHYL-2-BUTENE"
276,C6H12,3;3-DIMETHYL-1-BUTENE,84.162,-115.2,41.2,490,32.5,0.34,653,20,"25,665",,,-43.17,98.22,-12.556,5.48E-01,-2.92E-04,5.21E-08,15.3755,2326.8,-48.24,-48,67,,"C6H12, 3;3-DIMETHYL-1-BUTENE"
277,C6H12O,CYCLOHEXANOL,100.161,24.8,161.1,625,37.5,0.327,942,30,"45,511",,,-294.75,-117.98,-55.534,7.21E-01,-4.09E-04,8.24E-08,,,,,,,"C6H12O, CYCLOHEXANOL"
278,C6H12O,METHYL ISOBUTYL KETONE,100.161,-84.2,116.4,571,32.7,0.371,801,20,"35,588",473.65,259.03,-284.03,,3.894,5.66E-01,-3.32E-04,8.23E-08,15.7165,2893.66,-70.75,12,152,,"C6H12O, METHYL ISOBUTYL KETONE"
279,C6H12O2,N-BUTYL ACETATE,116.16,-73.5,126,579,31.4,0.4,898,0,"36,006",537.58,272.3,-486.76,,13.62,5.49E-01,-2.28E-04,-7.91E-10,16.1836,3151.09,-69.15,22,162,,"C6H12O2, N-BUTYL ACETATE"
280,C6H12O2,ISOBUTYL ACETATE,116.16,-98.9,116.8,561,30.4,0.414,875,20,"35,873",533.99,270.49,-495.47,,7.31,5.74E-01,-2.58E-04,1.10E-08,16.1714,3092.83,-66.15,16,154,,"C6H12O2, ISOBUTYL ACETATE"
281,C6H12O2,ETHYL BUTYRATE,116.16,-93.2,120.8,566,31.4,0.395,879,20,"34,332",489.95,264.22,,,21.508,4.93E-01,-1.94E-04,3.56E-09,15.9987,3127.6,-60.15,15,159,,"C6H12O2, ETHYL BUTYRATE"
282,C6H12O2,ETHYL ISOBUTYRATE,116.16,-88.2,111,553,30.4,0.41,869,20,"35,023",,,,,,,,,,,,,,,"C6H12O2, ETHYL ISOBUTYRATE"
283,C6H12O2,N-PROPYL PROPIONATE,116.16,-75.9,122.5,578,,,881,20,"36,383",,,,,,,,,16.8641,3558.18,-47.86,19,147,,"C6H12O2, N-PROPYL PROPIONATE"
284,C6H14,N-HEXANE,86.178,-95.4,68.7,507.4,29.7,0.37,659,20,"28,872",362.79,207.09,-167.3,-0.25,-4.413,5.82E-01,-3.12E-04,6.49E-08,15.8366,2697.55,-48.78,-28,97,,"C6H14, N-HEXANE"
285,C6H14,2-METHYL PENTANE,86.178,-153.7,60.2,497.5,30.1,0.367,653,20,"27,800",384.13,208.27,-174.42,-5.02,-10.567,6.18E-01,-3.57E-04,8.08E-08,15.7476,2614.38,-46.58,-33,97,,"C6H14, 2-METHYL PENTANE"
286,C6H14,3-METHYL PENTANE,86.178,-118.2,63.2,504.4,31.2,0.367,664,20,"28,093",372.11,207.55,-171.74,-2.14,-2.386,5.69E-01,-2.87E-04,5.03E-08,15.7701,2653.43,-46.02,-33,92,,"C6H14, 3-METHYL PENTANE"
287,C6H14,2;2-DIMETHYL BUTANE,86.178,-99.9,49.7,488.7,30.8,0.359,649,20,"26,322",438.44,226.67,-185.68,-9.63,-16.634,6.29E-01,-3.48E-04,6.85E-08,15.5536,2489.5,-43.81,-43,77,,"C6H14, 2;2-DIMETHYL BUTANE"
288,C6H14,2;3-DIMETHYL BUTANE,86.178,-128.6,58,499.9,31.3,0.358,662,20,"27,298",444.19,228.86,-177.9,-4.1,-14.608,6.15E-01,-3.38E-04,6.82E-08,15.6802,2595.44,-44.25,-38,81,,"C6H14, 2;3-DIMETHYL BUTANE"
289,C6H14O,1-HEXANOL,102.177,-44,157,610,40.5,0.381,819,20,"48,567",1179.4,354.94,-317.78,-135.65,4.811,5.89E-01,-3.01E-04,5.43E-08,18.0994,4055.45,-76.49,35,157,,"C6H14O, 1-HEXANOL"
290,C6H14O,ETHYL BUTYL ETHER,102.177,-103.2,92.2,531,30.4,0.39,749,20,"31,820",443.32,234.68,,,23.626,5.37E-01,-2.53E-04,4.16E-08,16.0477,2921.52,-55.15,-8,127,,"C6H14O, ETHYL BUTYL ETHER"
291,C6H14O,DIISOPROPYL ETHER,102.177,-85.5,68.3,500,28.8,0.386,724,20,"29,349",410.58,219.67,-319.03,-121.96,7.503,5.85E-01,-3.03E-04,5.84E-08,16.3417,2895.73,-43.15,-24,91,,"C6H14O, DIISOPROPYL ETHER"
292,C6H15N,DIPROPYLAMINE,101.193,-63.2,109.2,550,31.4,0.407,738,20,"37,011",561.11,257.39,,,6.46,6.29E-01,-3.39E-04,7.07E-08,16.5939,3259.08,-55.15,29,149,,"C6H15N, DIPROPYLAMINE"
293,C6H15N,TRIETHYLAMINE,101.193,-114.8,89.5,535,30.4,0.39,728,20,"31,401",355.52,214.48,-99.65,110.36,-18.43,7.16E-01,-4.39E-04,1.09E-07,15.8853,2882.38,-51.15,-13,127,,"C6H15N, TRIETHYLAMINE"
294,C7F14,PERFLUOROMETHYLCYCLOHEXANE,350.055,,76.3,486.8,23.3,,,,,,,-2898.1,,,,,,15.713,2610.57,-61.93,17,112,,"C7F14, PERFLUOROMETHYLCYCLOHEXANE"
295,C7F16,PERFLUORO-N-HEPTANE,388.051,-78.2,82.5,474.8,16.2,0.664,1733,20,,,,-3386.7,-3089.31,,,,,15.9747,2719.68,-64.5,-3,117,,"C7F16, PERFLUORO-N-HEPTANE"
296,C7H5N,BENZONITRILE,103.124,-13.2,190.8,699.4,42.2,,1010,15,,,,218.97,261.05,-26.004,5.73E-01,-4.43E-04,1.35E-07,,,,,,,"C7H5N, BENZONITRILE"
297,C7H6O,BENZALDEHYDE,106.124,-57.2,178.8,695,46.6,,1045,20,"42,705",686.84,314.66,-36.8,22.4,-12.142,4.96E-01,-2.85E-04,5.17E-08,16.3501,3748.62,-66.12,27,187,,"C7H6O, BENZALDEHYDE"
298,C7H6O2,BENZOIC ACID,122.124,122.4,249.8,752,45.6,0.341,1075,130,"50,660",2617.6,407.88,-290.4,-210.55,-51.292,6.29E-01,-4.24E-04,1.06E-07,17.1634,4190.7,-125.2,132,287,,"C7H6O2, BENZOIC ACID"
